
5:51:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:51:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:52:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:52:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:52:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:53:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:53:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:53:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:54:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:54:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:54:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:55:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:55:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:55:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:56:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:56:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:56:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:57:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:57:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:57:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:58:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:58:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:58:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
5:59:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
5:59:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
5:59:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
6:00:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
6:00:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
6:00:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
6:01:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
6:01:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
6:01:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
6:02:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
6:02:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
6:02:42 pm Platform : API, Module : Payment, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncPayment
6:03:21 pm Platform : API, Module : Notification, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : udfnGetCustomerRequest
6:03:21 pm Platform : API, Module : Receipt, Error : Error: connect ETIMEDOUT 172.16.1.222:5433, Functionality : syncReceipt
